job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,salary_clean,revenue_clean,company_size_clean
data scientist,senior,on-site,company_244,"Plano, TX . On-site",15 days ago,"New York, NY, US",Finance,Public,"290,800",€350.17B,"€86,772 - €196,371","['pytorch', 'machine learning', 'tensorflow', 'python']",86772196371,350.17,290800
data scientist,midlevel,uknown,company_246,"Arlington, VA",8 days ago,"New York, NY, US",Finance,Private,"23,320",Private,"€173,540","['spark', 'python', 'docker', 'java', 'sql', 'machine learning', 'kubernetes', 'hadoop', 'deep learning']",173540,0,23320
data scientist,lead,uknown,company_250,"New York, NY",4 days ago,"Paris, FR",Healthcare,Private,"76,020",Private,"€171,458 - €238,990","['powerbi', 'r', 'python', 'scikit-learn', 'sql', 'machine learning', 'tensorflow', 'tableau']",1.71E+11,0,76020
data scientist,lead,hybrid,company_252,"San Francisco, CA . Hybrid",5 days ago,"San Francisco, CA, US",Healthcare,Private,500,€1.72B,"€258,704",[],258704,1.72,500
data scientist,senior,uknown,company_254,"Chicago, IL",9 days ago,"South Bend, IN, US",Healthcare,Public,"2,520",Public,"€63,935 - €86,768","['powerbi', 'r', 'python', 'sql', 'database', 'hadoop', 'tableau']",6393586768,0,2520
data scientist,Uknown,on-site,company_255,"Charlotte, NC . On-site",8 days ago,"Fort Mill, SC, US",Technology,Private,"3,760",€913.33M,"€123,305 - €137,005",[],1.23E+11,913.33,3760
data scientist,senior,on-site,company_256,"San Francisco, CA . On-site",4 days ago,"San Francisco, CA, US",Technology,Private,150,€4.10B,"€155,274","['sql', 'machine learning', 'r', 'python']",155274,4.1,150
data scientist,senior,hybrid,company_257,"Foster City, CA . Hybrid",6 days ago,"Foster City, CA, US",Finance,Public,"21,050",€383.10B,"€120,561 - €192,988","['pytorch', 'spark', 'r', 'python', 'scikit-learn', 'machine learning', 'deep learning', 'tensorflow']",1.21E+11,383.1,21050
machine learning engineer,senior,hybrid,company_007,"Vancouver, British Columbia, Canada . Hybrid",a month ago,"Redwood City, CA, US",Technology,Public,"25,940",€33.50B,"€59,371 - €63,938","['pytorch', 'machine learning', 'tensorflow', 'python']",5937163938,33.5,25940
data scientist,senior,on-site,company_261,"Alameda, CA",7 days ago,"Lake Bluff, IL, US",Healthcare,Public,"103,540",€162.59B,"€79,187","['spark', 'r', 'python', 'scala', 'linux', 'java', 'hadoop', 'machine learning']",79187,162.59,103540
data scientist,senior,uknown,company_183,"Berlin, Berlin, Germany",8 days ago,"Tallinn, EE",Technology,Private,"3,780",Private,"€98,643","['pandas', 'numpy', 'spark', 'aws', 'scikit-learn', 'python', 'airflow', 'machine learning']",98643,0,3780
data scientist,senior,uknown,company_268,"Singapore, Singapore",7 days ago,"Singapore, SG",Finance,Public,"30,870",Public,"€67,044","['pytorch', 'git', 'python', 'machine learning', 'tensorflow']",67044,0,30870
data scientist,senior,uknown,company_269,"Boston, MA . Newark, DE . Tampa, FL . Kennesaw, GA . Plano, TX + 8 More",a month ago,"Charlotte, NC, US",Finance,Public,"274,280",€277.07B,"€150,707 - €224,869","['python', 'java', 'sql', 'hadoop', 'machine learning']",1.51E+11,277.07,274280
data scientist,lead,uknown,company_270,"New York, NY",2 months ago,"Woonsocket, RI, US",Healthcare,Public,"300,070",€121.12B,"€131,706 - €263,408","['sql', 'python']",1.32E+11,121.12,300070
data scientist,midlevel,on-site,company_231,"San Diego, CA . On-site",5 days ago,"Kenilworth, NJ, US",Healthcare,Public,"78,720",€231.13B,"€115,539 - €181,846","['aws', 'git', 'r', 'python', 'java', 'machine learning', 'database', 'azure', 'matplotlib']",1.16E+11,231.13,78720
